Rc,审核结果,上一年归母净利润（万元）,承诺期业绩增长率,前三年承诺覆盖率,静态市盈率,动态市盈率,成立年限,大股东持股比例,最近一个完整会计年度对第一大客户的销售占比,最近一个完整会计年度对第一供应商的采购占比,注入资产净资产账面值(万元),D/(D+E),总资产增长率,归母权益增长率,净利润增长率,总资产周转率,存货周转率,应收账款周转率,固定资产周转率,流动比率,资产负债率,经营杠杆（EBITDA/EBIT),（固定资产+土地）/归母权益,在建工程/归母权益,净资产收益率,毛利率,经营性现金流/收入,研发支出占比
0.02,发行股份购买资产获无条件通过,10665,0.29,0.28,18.94,13.92,15.01,0.82,0.32,0.48,50615.7,0.19,0.49,0.85,0.82,1.16,6.19,14.13,2.38,0.65,0.62,1.21,1.1,0.14,0.24,0.2,0.01,0
0.015,发行股份购买资产获有条件通过,2088,0.27,0.25,18.25,17.01,14.1,0.43,0.13,0.16,5662.79,0.05,1.43,0.99,0.22,1.24,8.82,3.05,17.67,1.51,0.64,1.06,0.35,0.01,0.54,0.39,0.44,0.02
0.03,发行股份购买资产获有条件通过,1608,0.63,0.31,32.65,12.5,3.83,0.43,0.2,0.28,4027.25,0,2.58,3.04,6.1,2.32,0,3.91,391.11,1.35,0.73,1,0.01,0,0.82,0.21,0.01,0.01
0.005,发行股份购买资产获有条件通过,6487,0.07,0.2,12.96,12.01,20.8,0.9,0.5,0.44,19802.87,0.04,0.04,0.23,0.27,1.86,11.24,6.27,69.6,6.83,0.14,1.02,0.03,0,0.2,0.18,0.01,0.01
0.01,发行股份购买资产获有条件通过,6345,0.29,0.2,25.11,15.17,25.35,0.09,0.26,0.02,40059.8,0.04,-0.04,-0.52,-0.27,0.54,23.71,1.36,4.9,1.58,0.46,1.13,0.31,0,0.15,0.49,0.83,0.03
0.015,发行股份购买资产获有条件通过,10080,0.58,0.22,42.17,17.71,11.09,0.86,0.1,0.12,127647.01,0.3,0.02,0.06,2.1,0.22,36.34,9.55,0.67,0.42,0.51,1.6,0.73,0.19,0.06,0.9,0.43,0
0.025,发行股份购买资产获有条件通过,19963,0.56,0.31,27.56,14.55,8.29,0.19,0.25,0.16,136648.4,0.05,1.46,4.04,5.72,0.44,12.81,3.43,1.08,2.84,0.15,1.13,0.48,0.03,0.24,0.61,0.02,0.04
0.045,发行股份购买资产获无条件通过,41616,0.39,0.35,19.18,10.62,2.48,1,0.2,0.09,718965.9,0.03,0.44,0.09,0.87,0.38,12.01,4.49,10.99,1,0.37,1.22,0.05,0.07,0.06,0.31,0.12,0
0.0378,发行股份购买资产获无条件通过,5030,0.5,0.29,26.84,14.52,8.42,0.45,0.05,10.26,12756.48,0,0.45,0.28,2.2,2.41,108.87,10.95,656.47,1.62,0.31,1.08,0.01,0,0.39,0.19,0.09,0.03
0.03,发行股份购买资产获有条件通过,12409,0.38,0.28,22.39,14.47,4.26,28.28,0.87,0.92,24923.87,0,8.55,14.55,5.59,2.31,0,13.07,828.98,5.24,0.19,1,0,0,0.85,1,0.33,0.02
0.035,发行股份购买资产获无条件通过,40270,0.23,0.37,13.01,10.08,19.78,0.85,23.32,4.91,126412,0.05,0.36,0.13,0.81,0.82,2.58,8.89,19.6,1,0.88,1.18,0.38,0.03,0.24,0.08,0,0.01
0.0386,发行股份购买资产获无条件通过,7805,0.09,0.31,11.26,11.2,17.82,0.8,0.03,0.84,11303.27,0.23,-0.33,-0.59,0.4,0.72,12.81,-5.22,2.98,1.07,0.73,1.13,1.18,0,0.4,0.3,0.19,0
